title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,object_thumb,object_download,reference_url
"Ga Instruments","Barry Bilderback","2018","Instrument storage facility in the Ga region.","Ga; instruments","","","","Barry Bilderback Personal Ethnomusicology Record","uighana-018","Image;StillImage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://www.lib.uidaho.edu/digital/objects/ghana-music/thumbs/uighana-018_th.jpg","https://www.lib.uidaho.edu/digital/objects/ghana-music/uighana-018.jpg","https://thecdil.github.io//ghana-music-initiative/items/uighana-018.html"
"Tamale Houses","Barry Bilderback","2018","Houses in Tamale indicative by the clay walls and foundation with the straw thatched roofs.","Dagbamba; Tamale; houses","Tamale","9.400722322","-0.8377277218","Barry Bilderback Personal Ethnomusicology Record","uighana-019","Image;StillImage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://www.lib.uidaho.edu/digital/objects/ghana-music/thumbs/uighana-019_th.jpg","https://www.lib.uidaho.edu/digital/objects/ghana-music/uighana-019.jpg","https://thecdil.github.io//ghana-music-initiative/items/uighana-019.html"
"Tamale Drum Ensemble","Barry Bilderback","2018","Four barrell shaped drums of varying sizes are used to accompany a recreational ring dance. Instruments left to right: three bottle-neck drums [ʋuvi?], the two bottle-neck drums in the center seem to be positioned to be played as a pair. The tall drum on the far right might be a &lt;a href=“{{ ‘/bibliography.html#younge’ | younge }}”&gt;taʋugã.&lt;/a&gt; ","Dagbamba; Tamale; ensemble","Tamale","9.400722322","-0.8377277218","Barry Bilderback Personal Ethnomusicology Record","uighana-020","Image;StillImage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://www.lib.uidaho.edu/digital/objects/ghana-music/thumbs/uighana-020_th.jpg","https://www.lib.uidaho.edu/digital/objects/ghana-music/uighana-020.jpg","https://thecdil.github.io//ghana-music-initiative/items/uighana-020.html"
"Tamale Recreational Dance","Barry Bilderback","2018","A recreational ring dance comprised of side-stepping. Over time, the participant dancers move counter clock wise. Some dancers can be seen wearing ankle bells.","Dagbamba; Tamale; ensemble; recreation; dance","Tamale","9.400722322","-0.8377277218","Barry Bilderback Personal Ethnomusicology Record","uighana-021","Image;MovingImage","video/mp4","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://img.youtube.com/vi/ncTqGOU0DOM/mqdefault.jpg","https://youtu.be/ncTqGOU0DOM","https://thecdil.github.io//ghana-music-initiative/items/uighana-021.html"
"Hunor Gatukpe Dogah and Eʋe Drum Ensemble in the Kpeve Village","Barry Bilderback","2018","A drum ensemble in the Volta region performs for a ceremonial dance featuring the young prophets. Hunor Gatukpe Dogah is seen playing the atopani.","Kpeve; Eʋe; ensemble; ceremony; atopani","Kpeve","6.685259058","0.3325510045","Barry Bilderback Personal Ethnomusicology Record","uighana-022","Image;MovingImage","video/mp4","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://img.youtube.com/vi/XPjZwzRKRi8/mqdefault.jpg","https://youtu.be/XPjZwzRKRi8","https://thecdil.github.io//ghana-music-initiative/items/uighana-022.html"
"Nunya Music Academy Brass Band","Barry Bilderback","2018","The Nunya Music Academy Brass Band performs under the direction of Prosper Gbolonyo.","brass; Dzodze; Eʋe; tuba; horn; trumpet; trombone;","Dzodze","6.242182467","0.9961079052","Barry Bilderback Personal Ethnomusicology Record","uighana-023","Image;StillImage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://www.lib.uidaho.edu/digital/objects/ghana-music/thumbs/uighana-023_th.jpg","https://www.lib.uidaho.edu/digital/objects/ghana-music/uighana-023.jpg","https://thecdil.github.io//ghana-music-initiative/items/uighana-023.html"
"Nunya Music Academy Brass Band","Barry Bilderback","2018","The Nunya Music Academy Brass Band performs under the direction of Prosper Gbolonyo.","brass; Dzodze; Eʋe; tuba; horn; trumpet; trombone;","Dzodze","6.242182467","0.9961079052","Barry Bilderback Personal Ethnomusicology Record","uighana-024","Image;StillImage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://www.lib.uidaho.edu/digital/objects/ghana-music/thumbs/uighana-024_th.jpg","https://www.lib.uidaho.edu/digital/objects/ghana-music/uighana-024.jpg","https://thecdil.github.io//ghana-music-initiative/items/uighana-024.html"
"Nunya Music Percussion Ensemble","Barry Bilderback","2018","The Nunya Music Academy under the direction of Prosper Gbolonyo. Seen in the photograph (left to right): kidi, sogo, kagan, atsimeʋu. A djembe is also in front of the sogo.","brass; Dzodze; kidi; sogol; kagan; atsimeʋu; Eʋe","Dzodze","6.242182467","0.9961079052","Barry Bilderback Personal Ethnomusicology Record","uighana-025","Image;StillImage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://www.lib.uidaho.edu/digital/objects/ghana-music/thumbs/uighana-025_th.jpg","https://www.lib.uidaho.edu/digital/objects/ghana-music/uighana-025.jpg","https://thecdil.github.io//ghana-music-initiative/items/uighana-025.html"
"Homowo Procession","Barry Bilderback","2018","Elders dressed in white process through the road as part of the Homowo festival. One can be seen blowing into a horn [Lãdzo?]","Homowo; Ga; harvest;","Prampram","5.724073591","0.1134711943","Barry Bilderback Personal Ethnomusicology Record","uighana-026","Image;MovingImage","video/mp4","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://img.youtube.com/vi/0Rg02iJHTl0/mqdefault.jpg","https://youtu.be/0Rg02iJHTl0","https://thecdil.github.io//ghana-music-initiative/items/uighana-026.html"
"Ga Ensemble at Homowo","Barry Bilderback","2018","Ga musicians seen performing on custom drums, resembling Eʋe atopani at Homowo.","Homowo; Ga; harvest; ensemble","Prampram","5.724073591","0.1134711943","Barry Bilderback Personal Ethnomusicology Record","uighana-027","Image;StillImage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.","http://rightsstatements.org/vocab/NoC-US/1.0/","https://www.lib.uidaho.edu/digital/objects/ghana-music/thumbs/uighana-027_th.jpg","https://www.lib.uidaho.edu/digital/objects/ghana-music/uighana-027.jpg","https://thecdil.github.io//ghana-music-initiative/items/uighana-027.html"

